name	city	code	host	address
Gracie 717	Lancaster	PA	gracie717.com	3515 Columbia Ave
Jiu Jitsu One	Lancaster	PA	jiujitsu1.com	1138 Elizabeth Ave
UFC GYM Lancaster	Lancaster	PA	ufcgym.com	1160 Park City Center
MPR Endurance MMA	Langhorne	PA	mprendurance.com	864 Town Center Dr
ONEPUNCH Boxing and MMA Jujitsu Gym	Langhorne	PA	onepunchatoxfordmall.business.site	2300 Lincoln Hwy
UFC GYM Lansdale	Lansdale	PA	ufcgym.com	2333 Welsh Rd Unit B2B
Ground Zero Pittsburgh	Latrobe	PA	gzpittsburgh.com	348 Main St
All-American MMA Academy	Lemont Furnace	PA	all-american-mma-academy.business.site	1952 University Dr
Harrisburg Brazilian Jiu Jitsu and Judo	Lemoyne	PA	harrisburgbjjandjudo.com	322 Market St
Ramsey Academy of Martial Arts	Lewisburg	PA	bvrec.org	815 Market St
Dragon Gym Malvern	Malvern	PA	dragongym.com	235 Lancaster Ave
Elite Edge Boxing & Jiu Jitsu	Malvern	PA	eliteedgeboxingbjj.com	11 N Bacton Hill Rd
Competitive Edge Martial Arts	Maple Glen	PA		874 Welsh Rd
House of Arts Jiu Jitsu	Media	PA	hoabjj.com	319B W State St
Armezzani Jiu Jitsu Academy	Monaca	PA	pittsburghbjj.net	1126 Pennsylvania Ave
Octane Martial Arts	Monongahela	PA	octanemartialarts.com	215 Chess St
Good Vibes Brazilian Jiu Jitsu	Morrisville	PA	goodvibesjiujitsu.com	375 W Trenton Ave
The Vault Jiu Jitsu	Morton	PA	vaultbjj.com	25 S Morton Ave
Miloki Flow Jiu Jitsu & Movement	Narberth	PA	milokiflow.com	950 Montgomery Ave
10th Planet Nazareth	Nazareth	PA	10pnazareth.com	857 Nazareth Pike
Onyx Combat Sports	Newtown Square	PA	onyxcombatsports.com	4653 West Chester Pike
Bucks MMA	Newtown	PA	bucksmma.com	207 Penns Trail
Ricardo Almeida Brazilian Jiu Jitsu & Martial Arts	Newtown	PA	newtownbjj.com	209 Pheasant Run
Beltrante Fighting Systems	Norristown	PA	belfightsys.com	536 N Trooper Rd
Elite Mixed Martial Arts	Northampton	PA	elitemmactr.com	2022 Main St
Gracie NEPA Grappling Club	Olyphant	PA	gracienepa.com	943 Underwood Rd
Boa Brazilian Jiu Jitsu	Orwigsburg	PA	boa-brazilian-jiu-jitsu-llc.business.site	214 E Independence St
Schuylkill County Brazilian Jiu Jitsu	Orwigsburg	PA	schuylkillbjj.com	1506 Centre Turnpike suite 8
Rat Pack Fighting Systems	Palmerton	PA	rpfightingsystems.com	468 Delaware Ave
Chosen Martial Arts Academy	Palmyra	PA	chosenmartialartsacademy.com	30 N Londonderry Square
Daniel Gracie BJJ	Philadelphia	PA	danielgraciephilly.com	2301 N Front Street
Fight Firm	Philadelphia	PA	fightfirmgym.com	461 N 9th St
Marquez MMA	Philadelphia	PA		4500 Worth St Unit 401A
Philadelphia Jiu-Jitsu	Philadelphia	PA	instagram.com	1760 Barbara St
RH Studios BJJ	Philadelphia	PA	instagram.com	10000 Sandmeyer Ln
SAS Philadelphia Brazilian Jiu-Jitsu	Philadelphia	PA	sasphiladelphiabjj.com	2137 E Huntingdon St Suite W1100
Shorty's Brazilian Jiu Jitsu	Philadelphia	PA	shortysbjj.com	3826 Lancaster Ave
The Jiu Jitsu Company	Philadelphia	PA	jiujitsuphilly.com	31 S 2nd St Fl 2
Undisputed MMA	Philadelphia	PA	undisputed-mma-llc.business.site	6501 Ogontz Ave
Alliance Pennsylvania Jiu-Jitsu	Phoenixville	PA	bajji.com	280 Schuylkill Rd
Gracie Jiu Jitsu Phoenixville	Phoenixville	PA	graciejiujitsuphoenixville.com	550 Kimberton Rd
USA MMA Academy	Phoenixville	PA	usammaacademy.com	711 Wheatland St
Personal Training Tactics by Don Kaecher	Pittsburgh	PA		2554 Brownsville Rd
Renzo Gracie Pittsburgh	Pittsburgh	PA	renzograciepittsburgh.com	5104 Butler Street
Steel City Martial Arts	Pittsburgh	PA	steelcitymartialarts.com	3842 Library Rd
The Academy of Martial Arts and Fitness	Pittsburgh	PA	pittsburghacademy.com	24 Woodville Ave
True Believer Jiu Jitsu	Pittsburgh	PA	truebelieverjiujitsu.com	1928 Spring Garden Ave
American Top Team Happy Valley	Pleasant Gap	PA	atthappyvalleypa.com	147 Valor Ct
Droogs MMA & Jiu Jitsu	Pottstown	PA	droogsmma.com	1730 New Schuylkill Rd
Mountain Road Jiu-Jitsu	Pottsville	PA	mountainroadjiujitsu.com	1766 W Market St
Quakertown Academy of MMA & Fitness	Quakertown	PA	mindbodyonline.com	214 N West End Blvd
Berks County Brazilian Jiu-Jitsu	Reading	PA	bcbjj.org	830 Mountain Home Rd
Team Pereira / Jucao Mixed Martial Arts Academy	Reading	PA	pereirabjj.com	1414 Moss Street
Mace MMA	Red Lion	PA	macemma.com	133 W Broadway
Gracie Jiu-Jitsu Richboro	Richboro	PA		890 2nd Street Pike Suite 896
Movement Art Jiu-Jitsu	Richboro	PA	rmbjjrichboro.com	879 Bustleton Pike
High Voltage Gym	Royersford	PA	highvoltagegym.net	61 S Reed Rd
Empower Jiu Jitsu	Sarver	PA	empowerjiujitsupa.com	384 Sun Mine Rd
Precision Jiu Jitsu Spring Mount	Schwenksville	PA	precisionjjspringmount.com	696 Main St
Pride Lands MMA Academy	Scranton	PA	pridelandsmma.com	731 Cedar Ave
Elite Performance Combat Club	Shamokin	PA	epccbjj.com	42 N Market St
Sion Brazilian JiuJitsu	Southampton	PA	sionbjj.com	1020 Industrial Blvd
Spring Grove Brazilian Jiu-Jitsu	Spring Grove	PA		244 Old Hanover Rd
Central PA Mixed Martial Arts	State College	PA	cpamma.com	1445 W College Ave
LombardMMA	State College	PA	lombardmma.com	127 Sowers St
American Killer Bees PA MMA & BJJ	Stroudsburg	PA	killerbeespa.com	344 Stroud Mall Rd #454
Renzo Gracie Pocono / Jiu Jitsu Asylum	Stroudsburg	PA		1125 N 9th St
Northeastern Ju Jitsu	Swoyersville	PA	nejujitsu.com	1047 Main St
Edge Fitness & Martial Arts	Towanda	PA	theedgefitness.com	17 Pine St
X-Treme MMA American Top Team	Warrington	PA	warringtonjiu-jitsu.com	626 Easton Rd
Elite Martial Arts Center	Waynesboro	PA	facebook.com	250 N Church St
Team Junqueira Pittsburgh	Wexford	PA	teamjunqueira.com	12330 Perry Hwy
Bad Company Jiu-Jitsu	Wilkes-Barre	PA	badcompanybjj.com	24 Forrest St
Williamsport School of Self Defense	Williamsport	PA		734 W 4th St
Delco Brazilian Jiu-Jitsu	Woodlyn	PA	delcobjj.com	1936 MacDade Blvd #7
East York Brazilian Jiu Jitsu	York	PA	yorkbjj.com	
Red Lion BJJ	York	PA		2810 E Prospect Rd
York Brazilian Jiu Jitsu	York	PA	3gyorkbjj.com	3130 West Market St
York Mixed Martial Arts Academy	York	PA	ymmaa.com	2323 Carlisle Rd
Zero Brazilian Jiu Jitsu	York	PA	zerobjj.com	463 S Albemarle St
Stout PGH - Zelienople/North	Zelienople	PA	stouttrainpitt.com	50 Halstead Blvd
Caio Terra Academy - Alexandria BJJ	Alexandria	VA	alexandriabjj.com	6118 Franconia Rd Ste 213
Capital Jiu-Jitsu Academy-Royce Gracie Network	Alexandria	VA		305 Hooffs Run Dr
High Noon BJJ & Fitness	Alexandria	VA	highnoonbjj.com	85 S Bragg St Ste 202
King Khong MMA	Alexandria	VA	kingkhong.com	5601-G General Washington Dr
Testudo BJJ Judo	Alexandria	VA	testudobjj.com	2731 Mt Vernon Ave Lower Level
Lotus Thai Boxing and BJJ	Annandale	VA	lotusthaiboxing.com	4542 John Marr Dr Ste B
Capitol Combat Sports	Arlington	VA	capitolcombatsports.blogspot.com	1750 Crystal Dr
Darcio Lira Jiu Jitsu	Arlington	VA	darciolirajjdcva.squarespace.com	1750 Crystal Dr
District Martial Arts	Arlington	VA	districtmartialarts.com	927 N Quincy St
EvolveAll - Martial Arts and Training Studio	Arlington	VA	evolveall.com	1058 S Walter Reed Dr
Kogaion Academy Brazilian Jiu-Jitsu & Judo	Arlington	VA	kogaionacademy.com	2788 S Arlington Mill Dr #100
Leo Dalla Martial Arts Arlington at One Life Fitness Ballston	Arlington	VA	leodalla.com	4238 Wilson Blvd.
Pentagon Mixed Martial Arts	Arlington	VA	pentagonmma.com	1041 S Edgewood St
UFC GYM Arlington	Arlington	VA	ufcgym.com	1200 N Herndon St
American Top Team Ashburn	Ashburn	VA	attashburn.com	44921 George Washington Blvd #140
Gracie Barra Ashburn, Brazilian Jiu-Jitsu and Self-Defense	Ashburn	VA	gbashburn.com	22556 Amendola Terrace Suite 130
Kaizen MMA Ashburn	Ashburn	VA	kzmma.com	21770 Beaumeade Circle, Ste 125
Sparks Martial Arts Academy	Ashburn	VA	sparksmma.com	21720 Red Rum Dr
Virginia Jiu-Jitsu Academy	Ashburn	VA	virginiajiu-jitsuacademy.com	21750 Red Rum Dr Ste 102
Revolution BJJ Ashland LLC	Ashland	VA	revolutionbjjashland.com	10393 Sliding Hill Rd Suite D
RVA MMA Ashland	Ashland	VA	rvamma.com	10966 Richardson Rd Suite E
MiKiDo	Bailey's Crossroads	VA	mikido.com	3443 Carlin Springs Rd
Team Mannon BJJ	Blacksburg	VA	teammannonbjj.com	700 N Main St
Bristol Jiu Jitsu	Bristol	VA	bristoljiujitsu.com	100 Travelite Rd Suite 7
Stryker Martial Arts / Carlos Machado Jiu-Jitsu Bristol	Bristol	VA	strykermaa.com	3170 Linden Dr Suite 8
Elite Grappling	Cedar Bluff	VA		23719 US-19
Centreville Brazilian Jiu Jitsu	Centreville	VA	centrevillebjj.com	6206 Multiplex Dr
Chantilly MMA Academy - Judo, BJJ and Muay Thai	Chantilly	VA	chantillymma.com	4124 Walney Rd Suite D
Dimitri Chrisos Jiu Jitsu Academy	Chantilly	VA	dc-bjj.com	4425 Brookfield Corporate Dr #900
Fairfax Jiu Jitsu Academy	Chantilly	VA	fairfaxjj.com	4315-B Walney Road
GB Chantilly	Chantilly	VA	graciebarra.com	4200 Lafayette Center Drive Suite N
Silverback Academy	Chantilly	VA		14740 Flint Lee Rd Suite F
Charlottesville Brazilian Jiu-Jitsu	Charlottesville	VA	cvillebjj.com	1731 Allied St
Gracie Charlottesville Jiu-Jitsu and Self Defense Academy	Charlottesville	VA	graciecharlottesville.com	1646 Seminole Trail Suite 100
Da Firma Training Center	Chesapeake	VA	dafirmatc.com	912 Professional Pl Ste A & B
Gustavo Machado Brazilian Jiu Jitsu Chesapeake	Chesapeake	VA	gmbjjchesapeake.com	123 Bruton Ct Ste 101
Tidewater Academy Chesapeake	Chesapeake	VA	tidewaterbjj.com	648 Grassfield Parkway Suite 18
Virginia TaeKwonDo & Jiu-Jitsu Academy	Chesapeake	VA	virginiatkd.com	1245 Cedar Rd
Tech MMA & Fitness Academy	Christiansburg	VA	techmmaacademy.com	215 County Dr NE
Tri-Cities JiuJitsu Club	Colonial Heights	VA	tricitiesmartialartsclub.com	137 Pickwick Ave
Culpeper Brazilian Jiu-Jitsu	Culpeper	VA	crossfitculpeper.com	15488 Montanus Dr
Yamasaki BJJ Culpeper	Culpeper	VA	culpepermartialarts.com	331 Southgate Shopping Center
Capital MMA & Elite Fitness	Fairfax	VA	capitalmma.com	3226 Old Pickett Rd
Comet BJJ	Fairfax	VA	cometmma.com	3937-B University Dr
Kaizen MMA Fairfax	Fairfax	VA	kzmma.com	3950 University Dr STE 103
OSA Martial Arts	Fairfax	VA	emafairfax.com	3848 Old Lee Hwy
UFC GYM Fairfax	Fairfax	VA	ufcgym.com	4475 Market Commons Dr
Fifty/50 Martial Arts Academy	Falls Church	VA	5050bjj.com	929 W Broad St Ste 103
Gracie NOVA at The Fighters Garage	Falls Church	VA	thefightersgarage.com	132 West Jefferson Street
Kaizen MMA Falls Church	Falls Church	VA	kzmma.com	2190 Pimmit Dr K - L
10th Planet Fredericksburg	Fredericksburg	VA	10thplanetfxbg.com	19 Baron Park Rd #101
Darcio Lira Brazilian Jiu Jitsu	Fredericksburg	VA	darciolirajjdcva.com	215 Kings Hwy STE 105
DCB MMA & Athletic Training	Fredericksburg	VA	dcbmma.com	624 Wolfe St
Enlisted Nine Fight Company - Virginia	Fredericksburg	VA	e9fcva.com	88 Le Way Dr Suite 123
GB Fredericksburg	Fredericksburg	VA	graciejiujitsufredericksburg.com	930 Bragg Rd
Renegade Combat Sports Club	Fredericksburg	VA	renegadecombatsports.com	1504 Interstate Business Park
The Kennel MMA	Fredericksburg	VA		Airport Ave
The Lab MMA	Fredericksburg	VA	thelabbjj.com	5061 Jefferson Davis Hwy
Valhalla Academy of Martial Arts	Fredericksburg	VA	martialartsfredericksburgva.com	4705 Plank Rd #201
Cheeseman Martial Arts Brazilian Jiu Jitsu	Hampton	VA	cheesemanmartialarts.net	4126 W Mercury Blvd
Five Crow Martial Arts & Fitness	Hampton	VA	fivecrow.com	1343 N King St Ste B
New World Academy	Hampton	VA	newworldacademybjj.com	3217 Commander Shepard Blvd
Edge Effect Fitness and Martial Arts	Harrisonburg	VA	edgeeffectfitness.com	785 Acorn Dr #102
Pressure Brazilian Jiu-Jitsu Academy	Harrisonburg	VA	m.facebook.com	3211 Peoples Dr Suite 120
Battlefield Jiu Jitsu	Haymarket	VA	battlefieldjiujitsu.com	14600 Washington St #160
Phoenix Fitness & Martial Arts	Henrico	VA	phoenixfma.com	3957 Deep Rock Rd
Pedro Sauer Academy: One Spirit Martial Arts	Herndon	VA	virginiabjj.com	314 Victory Dr
Odyssey MMA	King William	VA	odysseymma.com	694 Sharon Road Suite O
Tenth Round Boxing & MMA	Leesburg	VA	pedroboxing.com	737 Bonnie Ridge Dr NE
Shannon Arts Jiu-Jitsu & Wrestling Front Royal	Linden	VA	shannonajj.com	3056 Dismal Hollow Rd
Checkmat Lynchburg Jiu Jitsu	Lynchburg	VA	checkmatvirginia.com	18805 Forest Rd
Feks MMA	Lynchburg	VA	mma4lynchburg.com	18478 Forest Road Suite 9
Jamerson YMCA Martial Arts: Brazilian Jiu-Jitsu & Kempo Karate	Lynchburg	VA	lynchburgkempobjj.com	801 Wyndhurst Dr #2550
Nomad JiuJitsu	Lynchburg	VA	nomadjitsu.com	118 Davis Cup Rd
Renaissance Academy of Martial Arts	Lynchburg	VA	ramarts.com	1209 Commerce St
The Edge Martial Arts and Tumbling	Lynchburg	VA	theedgeforlife.com	20722 Timberlake Rd
Dominion BJJ	Manassas	VA	dominionbjj.com	8068 Flannery Ct
Vanguard Gym	Manassas	VA	vanguardgym.com	9414 Center Point Ln
BOA BJJ Academy	Mechanicsville	VA	boabjj.com	8324 Bell Creek Rd St 200
804 Jiu-Jitsu / Team Passos	Midlothian	VA	804jiu-jitsu.com	4816 Market Square Ln #4826
Apex Jiu Jitsu	Midlothian	VA	apexjiujitsuva.com	13961 Raised Antler Cir
Breakaway Jiu Jitsu	Newport News	VA	breakawayjiujitsu.com	11861 Canon Blvd Unit F
East Wind Academy of Martial Arts	Newport News	VA	eastwindacademy.com	13361-A Warwick Blvd
Clayton Phillips Jiu Jitsu	Norfolk	VA	norfolkjiujitsu.com	222 W 21st St
Gustavo Machado Norfolk	Norfolk	VA	gustavomachadonorfolk.com	3856 East Little Creek Rd
Kobukan Martial Arts Academy	Norfolk	VA	kmadojo.org	9563 Shore Drive
Norfolk Karate Academy / Gracie Jiu Jitsu Norfolk	Norfolk	VA	norfolkkarate.com	814-A W 45th St
The House of Muay Thai	Norfolk	VA	thehouseofmuaythai.com	2119 Colonial Ave
UFC GYM Norfolk	Norfolk	VA	ufcgym.com	5930 E Virginia Beach Blvd
Yamasaki Academy Springfield	North Springfield	VA	yamasakispringfield.com	5405 Port Royal Rd
UFC GYM Reston	Oak Hill	VA	ufcgym.com	11710 Plaza America Dr Suite C
Bushido MMA (Muay Thai and BJJ)	Portsmouth	VA	bushidomma.net	6031 High Street West
TIGER Academy of Martial Arts Portsmouth	Portsmouth	VA	trytigeracademy.com	5801 Portsmouth Blvd
Universal General Mixed Martial Arts	Portsmouth	VA	ugmma.com	3144 Victory Blvd
Justin Lough Brazilian Jiu Jitsu	Purcellville	VA	jloughbjj.com	37251 E Richardson Ln
Kaizen MMA Purcellville	Purcellville	VA	kzmma.com	109 E Main St
Gracie Jiu-Jitsu Richmond	Richmond	VA		6024 Brook Road
Richmond Brazilian Jiu-Jitsu & Self-Defense Academy	Richmond	VA	richmondbjj.com	725 West Broad Street
Top Game BJJ Academy	Richmond	VA	topgamebjj.com	8324 Staples Mill Road
Hybrid Martial Arts Center	Roanoke	VA	hybridroanoke.com	310 Salem Ave SW
Roanoke Jujutsu Club	Salem	VA	facebook.com	624 East 8th Street
Arte Suave Jiu-Jitsu	Springfield	VA	artesuave-bjj.com	7841 Rolling Rd Suite D
Total Defense Martial Arts	Staunton	VA	totaldefensema.com	708 D St
Caio Terra Academy - Sterling	Sterling	VA	bjjvirginia.com	21430 Cedar Dr Suite 120
Capital MMA & Elite Fitness	Sterling	VA	capitalmma.com	23520 Overland Dr #164
Disciple MMA Academy	Sterling	VA	disciplemmaacademy.com	21240 Ridgetop Cir Suite 110
Double Phoenix Jiu Jitsu	Sterling	VA	doublephoenixjj.com	45714 Oakbrook Ct #160
Team Passos Jiu Jitsu	Sterling	VA		22446 Davis Dr #153
Good2Go MMA	Strasburg	VA	linktr.ee	100 Founders Way #4
Augusta Combat Sports	Stuarts Draft	VA	augustacombatsports.com	2627 Stuarts Draft Hwy Suite 101
TIGER Academy of Martial Arts Suffolk	Suffolk	VA	trytigeracademy.com	1208 N Main St
Principle MMA	Timberville	VA		165 Shenandoah Ave
Abmar Barbosa JJ Academy	Vienna	VA	abmarbjjacademy.com	8460-D Tyco Rd
American Fight Club	Vienna	VA	afcva.com	8480 Tyco Rd
David Jacobs BJJ Academy	Vienna	VA	therockbjj.com	8500 Tyco Road
Kaizen MMA Vienna	Vienna	VA	kzmma.com	124 Branch Rd SE
Tysons Brazilian Jiu Jitsu and Haganah	Vienna	VA	tysonsbjj.com	8453 Tyco Rd J
Grappling Sports	Vinton	VA	grapplingsports.com	1110 Vinyard Rd
Roanoke Judo & Jiu Jitsu Club	Vinton	VA	instagram.com	1316 E Washington Ave
Chaos Jiu Jitsu	Virginia Beach	VA	chaosjiujitsu.com	4704 Princess Anne Rd
Coastal Brazilian Jiu Jitsu	Virginia Beach	VA	coastalbjj.com	1485 General Booth Blvd
Diego Bispo Academy	Virginia Beach	VA	diegobispoacademy.com	509 Viking Drive, Suite J
Eastern Academy of Mixed Martial Arts	Virginia Beach	VA	easternacademy.com	3900 Bonney Rd Ste 213
Element Academy of Jiu-Jitsu	Virginia Beach	VA	elementbjj.com	434 Newtown Rd
Ferox Jiu-Jitsu	Virginia Beach	VA	feroxjiujitsu.com	2424 Castleton Commerce Way Unit 1004
Gracie Jiu-Jitsu Virginia Beach	Virginia Beach	VA	graciejiujitsuvb.com	1925 Landstown Centre Way Suite 220
Impact Martial Arts Academy	Virginia Beach	VA	impact-athletes.com	3877 Holland Road #511
Iron Sharpens Iron Brazilian Jiu Jitsu Academy	Winchester	VA	winchesterbjj.com	
Shark Pit Jiu Jitsu	Winchester	VA	sharkpitbjj.com	221 Commonwealth Ct
Winbjj Mixed Martial Arts	Winchester	VA	winbjj.com	4048 Valley Pike
Gold Medal Grappling	Woodbridge	VA	ameri-jitsu.com	Hanco Center Drive
Leo Dalla Martial Arts	Woodbridge	VA	leodalla.com	12608 Darby Brook Ct
Trident Academy MMA	Woodbridge	VA	tridentmartialarts.com	3310 Noble Pond Way #104
UFC GYM Woodbridge	Woodbridge	VA	ufcgym.com	4188 Merchant Plaza
Yamasaki Academy Woodbridge	Woodbridge	VA	yamasakiwoodbridge.zohobookings.com	13546 Minnieville Rd
Modern American MMA	Yorktown	VA	mammas-boys.com	107 Production Dr.
Ribeiro Jiu-Jitsu	Yorktown	VA	ribeirojiujitsuyorktown.com	104 Production Dr
Straight Blast Gym Atlanta BJJ	Atlanta	GA	sbgatlanta.com	1799 Briarcliff Rd NE Suite V
Odyssey BJJ	Atlanta	GA	odysseybjj.com	1530 Carroll Dr NW #105
American Top Team Atlanta	Atlanta	GA	attatl.com	2110 Faulkner Road NE
Atlanta Kyusho and Jujitsu	Atlanta	GA	atlantajujitsu.com	2213 Faulkner Rd NE
Ranieri Paiva Jiu-Jitsu Academy	Atlanta	GA	atlbjj.com	2997 Cumberland Blvd SE
Atlanta Kick	Atlanta	GA	atlantakick.com	764 Miami Cir NE #204
Buckhead Jiu-Jitsu	Atlanta	GA	buckheadjj.com	2144 Hills Ave NW
Evolution X Martial Arts and Fitness	Atlanta	GA	evolutionxma.com	2000 Cheshire Bridge Rd NE Ste G
True Strength MMA	Roswell	GA	truestrengthmma.com	100 Norcross St Suite E
Diego Saraiva BJJ - Roswell/Crabapple GA	Roswell	GA	saraivabjjroswell.com	10500 Alpharetta Hwy Suite 10502A
Jiu Jitsu Roswell	Roswell	GA	jiujitsuroswell.com	925 Woodstock Rd Suite 102B
Hokutoryu	Roswell	GA	usajutsu.com	11516 Woodstock Rd
East Athens Jiu Jitsu	Athens	GA	eastathensjiujitsu.com	1040 Gaines School Rd
Athens Fitness and MMA	Athens	GA	athensfitnessandmma.com	240 Collins Industrial Blvd, Suite G
X3 Sports - Athens	Athens	GA	x3sports.com	2026 S Milledge Ave A-1
Kenny Kim BJJ	Marietta	GA	kennykimbjj.com	800 Whitlock Ave
Atos Atlanta Brazilian Jiu-Jitsu	Marietta	GA	atosbjj-atl.com	3101 Roswell Rd Suite 120
Borges Brazilian Jiu-Jitsu	Marietta	GA	borgesbjj.com	2800 Canton Rd, Suite 400
Advantage Jiu-Jitsu and Self Defense	Marietta	GA	advantagejj.com	3951 Mary Eliza Trace NW
East Cobb Martial Arts	Marietta	GA	eastcobbma.com	2635 Sandy Plains Rd, Suite 106
X3 Sports Marietta	Marietta	GA	x3sports.com	2343 Windy Hill Rd
Fusion MMA	Marietta	GA	fusionfitnessandmma.com	1075 Whitlock Ave. Suite E
SERG Brazilian Jiu Jitsu and Fitness	Savannah	GA	sergbjj.com	401 Mall Blvd
Gracie Jiu-Jitsu Savannah	Savannah	GA	gjjsav.com	904 E 70th St
Constant Expansion Jiu Jitsu / MMA	Savannah	GA	10psav.com	302 W Victory Dr Unit B
Savannah Combat Club	Savannah	GA	savannahcombatclub.com	715 E 37th St
Devine Jiu Jitsu Savannah & Five Star Wrestling	Savannah	GA	fivestarsavannah.com	4307 Ogeechee Rd Suite 101
Champions Training Center	Savannah	GA	ctcsavannah.com	4511 Montgomery St
Tiger Academy of Martial Arts	Alpharetta	GA	tigeracademy.com	3815 Mansell Rd #150
J3 Brazilian Jiu Jitsu	Alpharetta	GA	j3bjj.com	13695 Hwy 9 N.
Iron Horse Brazilian Jiu Jitsu	Alpharetta	GA	ironhorsebjj.com	12624 Broadwell Rd
KnuckleUp Fitness Alpharetta	Alpharetta	GA	knuckleupfitness.com	5815 Windward Pkwy #100
KBX Gym	Alpharetta	GA	kbxgym.com	795 Union Hill Rd
Ascension Mixed Martial Arts (Cumming)	Cumming	GA	ascensionmma.com	2 Tri-County Plaza
Raven Brazilian Jiu-Jitsu	Cumming	GA	ravenjiujitsu.com	110 Industrial Park Dr
Prime Combat Sports	Cumming	GA		4415 Front 9 Dr #500
World Jiu-Jitsu Academy	Cumming	GA	worldjiujitsuatlanta.com	433 Canton Road #313
GB South Forsyth	Cumming	GA	graciebarra.com	4415 Front 9 Dr Suite 400
Monsuta Jiu-Jitsu Academy	Lawrenceville	GA	monsuta-jiu-jitsu-academy.business.site	120 Gloster Rd NW Suite 1
Team Mongoose BJJ	Lawrenceville	GA	mongoosejiujitsu.com	1154 Lawrenceville Hwy, Ste 202
Rodriguez MMA	Lawrenceville	GA		485 Buford Dr #200
GB Lawrenceville	Lawrenceville	GA	graciebarra.com	2100 Riverside Parkway
American Top Team of Gwinnett	Lawrenceville	GA	attofgwinnett.com	3315 Sugarloaf Pkwy
Gwinnett Training Academy	Lawrenceville	GA	gwinnetttrainingacademy.com	3315 Sugarloaf Pkwy #7
Hamby Freestyle Jiu Jitsu	Albany	GA	hambyfreestyle.com	2722-6 Dawson Rd
Team Doan Jiu Jitsu Gainesville & Fitness	Gainesville	GA	teamdoan.com	470 Woodsmill Rd Suite A
Gracie Barra Gainesville	Gainesville	GA	gbgainesville.com	2197 Dawsonville Hwy Suite B
Absolute Martial Arts	Gainesville	GA		565 Shallowford Rd Unit 3
Buckhead Fight Club	Brookhaven	GA	buckheadfightclub.com	3293 Buford Hwy NE, Suite 500
X3 Sports - North Marietta	Jonesboro	GA	x3sports.com	10147 Tara Blvd
Black Sheep MMA	Leesburg	GA	blacksheep-mma.com	451 US Hwy 19 S, Suite C
Rush MMA	Macon	GA	rushmma.com	4547 Knight Rd Suite 1
Macon Jiu Jitsu Academy	Macon	GA		3258 Vineville Ave
KODA Academy of Martial Arts	Woodstock	GA	sakurabjj.com	1105 Parkside Ln Suite 1212
Atlanta Martial Arts Center	Woodstock	GA	atlantamartialartscenter.com	105 Smokehill Lane, Suite 170
ATL Fitness 24/7 Woodstock	Woodstock	GA	mindbodyonline.com	9820 Alabama Road Hwy 92
Atlanta Budokan	Smyrna	GA	atlantabudokan.com	2508 Cobb Pkwy SE
Jinsendo Martial Arts	Smyrna	GA	jinsendo.com	1600 Roswell St NE Suite 1
Tonchu Martial Arts Academy	Smyrna	GA	tonchumartialarts.com	3599 Atlanta Rd Suite A-9
Carlos Machado Jiu-Jitsu North Atlanta	Acworth	GA	cmjjnatl.com	3335 Cobb Pkwy NW Suite 500B
Gracie Barra - Acworth	Acworth	GA	gbgeorgia.com	5505 Bells Ferry Rd
James Shook Brazilian Jiu-Jitsu	Acworth	GA	zenith.jamesshookbjj.com	1720 Mars Hill Rd
Straight Blast Gym Buford	Buford	GA	sbgatlanta.com	1605 Buford Hwy NE Suite N
Legacy MMA Club	Buford	GA	legacymmaclub.com	4965 Lanier Islands Pkwy #109
Underground Martial Arts & Fitness LLC	Buford	GA	ukamartialarts.com	4805 S Lee St
Gracie Barra - Augusta	Augusta	GA	gbaugusta.com	3475 Old Petersburg Rd
Greubel's Mixed Martial Arts	Augusta	GA	greubelsmma.com	2917 Riverwest Dr. Suite 105
Terra Guerra Jiu Jitsu	Augusta	GA	terraguerrajj.com	266 Bobby Jones Expy Suite #16
Veritas Brazilian Jiu-Jitsu - Kuzushi Club Dalton	Dalton	GA	veritasbjj.com	801 Walnut Ave
G1 Martial Arts, Krav Maga, & Brazilian Jiu Jitsu	Dalton	GA	g1martialarts.com	2962 Cleveland Hwy Suite #5
North Georgia Hayastan MMA Academy	Dalton	GA	teamhayastan.com	2104 E. Morris St
Wolfhunter Jiu Jitsu Club	Griffin	GA	wolfhunterjjc.com	1457A Experiment Street
Anchor Jiu Jitsu & Fitness	Griffin	GA	anchorjiujitsu.com	1114 Zebulon Rd
Praxis MMA	Griffin	GA		649 Griffin Park Rd
Striker Fight Center	Kennesaw	GA	strikerfightmma.com	771 Shallowford Rd. Suite 214
Diego Saraiva BJJ - Nova Uniao Atlanta GA	Norcross	GA	saraivabjj.com	6290 McDonough Dr NW, Suite H
Nucleus Brazilian Jiu Jitsu	Norcross	GA	nucleusbjj.com	6375 Spalding Dr
10th Planet Jiu Jitsu Perry	Perry	GA	10thplanetperry.com	1201 Main St
Gracie Jiu-Jitsu Decatur	Decatur	GA	graciedecatur.com	2959 E Ponce de Leon Ave
Tsunami MMA	Decatur	GA	tsunamimma.co	2734 E Ponce de Leon Ave
Gracie Jiu-Jitsu Balance Academy	Peachtree City	GA	graciebalance.com	277 N. Highway 74, Suite 110
PTC Combat Fitness	Peachtree City	GA	ptccombatfitness.com	655 Dividend Drive Suite 425
