region	name	record_city	site_says
IL	Brasa Jiu-Jitsu Highwood	Highwood	BJJ academy, 432 Green Bay Rd Highwood
IL	Comprido BJJ	Highland Park	432 Green Bay Rd Highwood, adjacent Highland Park
IL	Core Combat Sports	Louisville	Rockford and Loves Park BJJ MMA
IL	Fusion Academy of Martial Arts	Elgin	782 S McLean Blvd Elgin, Gracie jiu-jitsu
IL	GB Chicago West Loop	Chicago	630 W Lake St Chicago matches
IL	GB Downers Grove	Downers Grove	152 Ogden Ave Downers Grove listed
IL	GB East Naperville	Lisle	Now 1512 N Naper Blvd, Naperville
IL	Living Art Brazilian Jiu Jitsu	Willowbrook	BJJ school, S Quincy St Willowbrook IL
KS	Andover Jiu Jitsu	Andover	BJJ/MMA, 622 N Andover Rd
KS	Brazil Academy USA	Lenexa	BJJ academy, 11441 Strang Line Lenexa
KS	Burns Martial Arts	Wichita	BJJ and wrestling, 1711 S Eisenhower Wichita
KS	Combative Sports Center	Manhattan	116 S 4th St Manhattan KS
KS	Dodge City House of Grappling	Dodge City	1701 N 14th Ave Dodge City
KS	E3 Jiu-Jitsu	Overland Park	7010 W 83rd Street Overland Park
KS	Elite Combat Sports Center	Hutchinson	13 S Main Hutchinson, jiu-jitsu grappling
KS	Ethos BJJ Wichita	Wichita	1310 West Douglas Wichita, matches address
KS	Fox Fitness BJJ	Wichita	2923 N Tyler Rd Wichita, matches address
KS	Immortal MMA	Wichita	1050 S Oliver Ave, Wichita
KS	Laselva MMA	Derby	BJJ MMA classes, S Baltimore Ave Derby
KS	Marathon Mixed Martial Arts Academy	Overland Park	BJJ MMA academy, Metcalf Ave Overland Park
KY	AKF Lexington Martial Arts	Nicholasville	Site says Lexington KY; taekwondo focus
KY	Apex Martial Arts Academy	Shepherdsville	BJJ/MMA, now Hillview KY adjacent Shepherdsville
KY	Area 502 MMA - Carlson Gracie Team	Louisville	Carlson Gracie BJJ/MMA, Louisville, new address
KY	BarnYard MMA	Crittenden	BJJ and MMA, 700 Violet Rd
KY	Club MMA	Highland Heights	Campbell County Highland Heights KY, BJJ MMA
KY	Core Combat Sports Louisville	Louisville	13124 Eastpoint Park Blvd Louisville KY
KY	Criterion Brazilian Jiu Jitsu of Louisville	Louisville	2801 Cleveland Blvd Louisville KY
KY	Derby City MMA	Louisville	8021 Dixie Hwy Louisville KY
KY	Fight Factory Louisville	Louisville	3622 Frankfort Ave Louisville, BJJ MMA
KY	Hicsmma	Bowling Green	Bowling Green KY, Dishman Ln matches
KY	Hidden Samurai Martial Arts	Owensboro	Owensboro KY, now Scherm Rd
KY	Hopkinsville Martial Arts	Hopkinsville	1005 Skyline Dr, Hopkinsville KY
KY	Insight BJJ Somerset KY	Somerset	Redirects somerset.insightbjj.com, address matches
KY	Lexington Academy of Martial Arts - LAMA	Lexington	Facebook renders, BJJ school National Ave Lexington
KY	Lexington Jiu-Jitsu & Fitness	Lexington	BJJ academy, National Avenue Lexington KY
KY	Life's Ultimate Martial Arts Academy	Maysville	Jujitsu judo programs, MLK Hwy Maysville KY
LA	AMP BJJ Baton Rouge	Baton Rouge	Baton Rouge location page, 7731 Perkins Rd
LA	Bayou Jiu Jitsu & Self Defense Baton Rouge	Baton Rouge	BJJ and judo, 9681 Airline Hwy
LA	Be Jiu Jitsu	Lafayette	BJJ gym, 113 Clinton St Lafayette
LA	Bossier Jiu-Jitsu: Louisiana Black Belt Academy	Bossier City	BJJ academy, 4345 Marlena St Bossier City
LA	Cyclone Brazilian Jiu Jitsu & Combatives	Boutte	13413 Hwy 90 Boutte Louisiana
LA	Extreme Mix Martial Arts	Houma	Houma LA, Lafayette St address listed
LA	Fight to Win Lafayette Jiu -Jitsu	Broussard	817 Albertson Pkwy Broussard, Gracie jiu-jitsu
LA	Gladiators Academy of Breaux Bridge	Breaux Bridge	Names Breaux Bridge, BJJ; http works
LA	Gladiators Academy of Crowley	Crowley	209 East Park Street, Crowley LA
LA	Gracie Stonewall Jiu Jitsu Academy	Stonewall	own Facebook page, address matches exactly
LA	Gracie United Baton Rouge - Tiger Bend	Baton Rouge	Tiger Bend Rd, Baton Rouge listed
LA	Hero Fitness Academy	Calhoun	West Monroe, only location listed
LA	Inner Game Jiu-Jitsu	Ville Platte	1233 W LaSalle St Ville Platte
LA	JM Modern Jiu Jitsu	Baton Rouge	14141 Airline Hwy, Baton Rouge
LA	Lake Area Brazilian Jiu-Jitsu	Lake Charles	Facebook renders, BJJ MMA in Lake Charles
LA	Louisiana Judo. Louisiana Muay Thai	Broussard	Judo gym, Burgess Dr Broussard LA
MA	Atlas Jiu Jitsu Waltham	Waltham	BJJ page, 520 Main St Waltham
MA	BattleGround Jiu-Jitsu Academy	West Springfield	BJJ academy, 2260 Westfield St West Springfield
MA	Boston Brazilian Jiu-Jitsu Woburn	Woburn	BJJ academy, 104 Main St Woburn
MA	Brazilian Top Team Back Bay	Boston	BJJ academy, 400 Commonwealth Ave Boston
MA	Dragon Within Mixed Martial Arts	Salem	11 Franklin St Salem MA, BJJ
MA	Florian Martial Arts Center	Brookline	62 Harvard St Brookline MA, BJJ
MB	Balance Jiu Jitsu	Winnipeg	BJJ academy, 1308 Portage Ave Winnipeg
MB	Brazil-021 Winnipeg	Winnipeg	BJJ academy, 1000 Notre Dame Winnipeg
MB	Future MMA	Steinbach	375 North Front Dr Steinbach, BJJ wrestling
MB	Innovative Martial Arts & Fitness	Winnipeg	Dugald Rd Winnipeg, BJJ program
ME	Acadia Brazilian Jiu-Jitsu	Ellsworth	385 High St, Ellsworth ME
ME	Alexey Pickerell BJJ	Westbrook	BJJ gym, 90 Bridge St Westbrook
ME	Bar Harbor Brazilian Jiu Jitsu	Bar Harbor	BJJ school, 12 Bethany Lane matches
ME	Bearclan Jiujitsu	Oakland	BJJ school, 826 Kennedy Memorial Oakland
ME	Brunswick Martial Arts Academy	Topsham	BJJ and judo, 126 Main St Topsham
ME	Empire Brazilian Jiu Jitsu	Freeport	15 Depot St Freeport ME, BJJ judo
ME	Evolution Athletix	Saco	4 Cascade Rd Saco, BJJ wrestling
ME	Flow Brazilian Jiu Jitsu	Rockland	4 Cedar St Rockland ME, matches address
ME	Graciefighter Jiu Jitsu	Caribou	118 Bennett Drive Caribou address matches
ME	Huard's Ju-Jitsu & Karate	Winslow	234 Clinton Ave, Winslow ME
MI	Black Lion Jiu Jitsu Academy	Byron Center	BJJ academy, 701 68th St Byron Center
MI	Cosens MMA	Bay City	4101 E Wilder Rd Bay City
MI	Cosens Martial Arts Grand Blanc LLC	Grand Blanc	12830 S Saginaw St Grand Blanc
MI	Cosens Martial Arts Midland LLC	Midland	6829 Eastman Ave Midland Michigan
MI	Cosens Martial Arts Mt. Pleasant LLC	Mt. Pleasant	2206 S Mission St Mt Pleasant
MI	Cosens Martial Arts Saginaw LLC	Saginaw	5738 State St Saginaw Michigan
MI	Detroit Academy of Martial Arts	Troy	3883 Rochester Rd Troy MI, rebranded APEX
MI	Detroit Jiu Jitsu	Detroit	East Dearborn facility, adjacent to Detroit
MI	Final Round Mixed Martial Arts and Fitness	Ann Arbor	3770 Plaza Dr Ann Arbor, jiu-jitsu
MI	Guardian Tactics	Plymouth	Holland MI, not Plymouth
MI	Kraken Jiu Jitsu BJJ & Self-Defense	Belmont	BJJ gym, Belmont Center Dr NE listed
MI	MKG Martial Arts	Ferndale	MKG grappling collective, Hilton Rd Ferndale MI
MN	Alliance Jiu Jitsu MPLS	Edina	BJJ academy, 7387 Bush Lake Rd Edina
MN	Bellum Brazilian Jiu Jitsu	St. Paul	BJJ academy, 655 Fairview Ave St Paul
MN	Black Arrow Martial Arts	Brainerd	Jiu-jitsu, 217 Washington St Brainerd MN
MN	Freestyle Martial Arts	Albert Lea	115 N Newton Ave Albert Lea, grappling
MN	Gorilla Combat	Eden Prairie	BJJ/MMA, 7887 Fuller Rd Eden Prairie
MN	Grappler Station	St. Paul	2015 Ford Pkwy St Paul
MN	Hamel Jiu Jitsu Club	Hamel	770 Tower Dr Hamel MN
MN	Isanti Grappling Club	Isanti	101 Isanti Parkway NW address matches
MN	M-Theory Martial Arts	St. Louis Park	Jiu jitsu school, W 36th St St Louis Park
MN	Mark44 Martial Arts Academy	Mankato	BJJ judo academy, S Victory Dr Mankato
MO	Black Diamond Grappling Club	Bevier	BJJ club, 108 E Elvira St Bevier
MO	Forged Jiu Jitsu	Ozark	773 N 20th St Ozark, matches address
MO	GB Chesterfield	Chesterfield	13379 Olive Blvd Chesterfield MO matches
MO	GB O'Fallon	Dardenne Prairie	Site shows Lake St Louis, adjacent
MO	GB St. Peters, USA	St. Peters	Rebranded Onyx Grappling, same Jungermann address
MO	GB Washington	Washington	1629 Aroy Dr, Washington MO
MO	GB West County	Ballwin	15425 Manchester Road, Ballwin MO
MO	Jefferson City Judo Club & Jujitsu	Jefferson City	1301 Creek Trail Dr, address matches
MO	Joplin BJJ	Joplin	420 N Rangeline Rd, Joplin
MO	Lake Area Gracie Jiu-jitsu	Camdenton	Rebranded Gracie Humaita, same Camdenton MO address
MO	MTA Republic	Republic	Facebook renders, E State Hwy 174 Republic
MS	Anthony Mitchell Jiu Jitsu Studio	Madison	BJJ/wrestling, 316 Old Jackson Rd Madison
MS	Gracie United Hancock	Bay St. Louis	Own site, Bay St Louis address matches
MS	Graham MMA	Petal	300 McInnis Street Petal address matches
MS	Grapple Jiu Jitsu	Brandon	Brandon address in footer, Flowood adjacent
MS	Leonardo Delgado Jiu-Jitsu Academy	Biloxi	BJJ academy, Lemoyne Blvd Biloxi MS
MT	Absolute Fight Factory	Kalispell	465 Ash Rd, Kalispell MT
MT	Bitterroot Warrior Arts Corvallis	Corvallis	Body lists Hamilton and Stevensville, not Corvallis
MT	Bitterroot Warrior Arts Stevensville	Stevensville	Judo and jujitsu, Stevensville 211 Main St
MT	Bozeman JuJitsu	Belgrade	DanZan Ryu jujitsu, 20900 Frontage Rd Belgrade
MT	Dojo USA South BJJ Missoula	Missoula	BJJ facility in Missoula Montana
MT	Function Jiu Jitsu	Billings	1313 Grand Ave Billings, matches address
MT	GB Great Falls	Great Falls	Dragon Fire BJJ rebrand, same address
MT	Kron Gracie Academy	Belgrade	Facebook renders, Motherlode Ln Belgrade MT
MT	Livingston Jiu-Jitsu	Livingston	Facebook renders, W Park St Livingston MT
NB	Fredericton BJJ	Fredericton	Absolute BJJ, 80 Bishop Dr Fredericton
NB	Junglefowl Brazilian Jiu Jitsu	Sackville	86 Main Street, Sackville NB
NB	Knots Jiu Jitsu	Moncton	BJJ academy, Mountain Road Moncton NB address
NB	MXT BJJ	Saint John	BJJ academy, Somerset Street Saint John NB
NC	Blue Ridge Jiu Jitsu	Mills River	BJJ academy, 6424 Boylston Hwy Mills River
NC	Ethos BJJ	Wilmington	5424 Oleander Dr Wilmington, matches address
NC	GB Lake Norman	Cornelius	11020 Bailey Rd, Cornelius NC listed
NC	Gracie Raleigh	Raleigh	Old Louisburg Rd, Raleigh confirmed
NC	Irongrip Jiu Jitsu	Raleigh	731 W Hargett St Raleigh matches
ND	Bismarck MMA	Bismarck	BJJ, judo, wrestling, 1418 Airport Rd
ND	Grand Forks Brazilian Jiu-jitsu Academy	Grand Forks	2750 Gateway Dr Grand Forks matches
ND	Ice Dragon Academy	Bismarck	3007 Morrison Ave, Bismarck ND
NE	10th Planet Jiu-Jitsu Auburn	Auburn	Address 1916 O Street Auburn matches
NE	10th Planet Jiu-Jitsu Omaha	Bellevue	Bellevue NE; site lists 722 Fort Crook
NE	Ares Brazilian Jiu-Jitsu Omaha	Omaha	BJJ, 4307 S 120th St Omaha
NE	Bellevue Academy of Brazilian Jiu Jitsu	Bellevue	BJJ academy, 2851 Capehart Rd Bellevue
NE	Lincoln Brazilian Jiu-Jitsu Center - College View	Lincoln	BJJ center, Prescott Ave Lincoln NE
NE	Lincoln Brazilian Jiu-Jitsu Center - Havelock	Lincoln	BJJ center, Havelock Ave Lincoln NE
NE	Lokahi Jiu-Jitsu Collective	Omaha	BJJ wrestling judo, Industrial Rd Omaha NE
NH	Blue Wave Brazilian Jiu Jitsu	Nashua	BJJ academy, 1 Progress Ave Nashua
NH	Brazilian Top Team Londonderry	Londonderry	BJJ academy, 73 Rockingham Rd Londonderry
NH	Burgess Academy of BJJ and MMA	Manchester	BJJ and MMA, 9 Old Falls Manchester
NH	Full Circle Martial Arts and Fitness Center	Manchester	880 Page St Manchester, judo BJJ
NH	Granite State BJJ	North Hampton	10 Lafayette Rd North Hampton matches
NH	Hero Jiu Jitsu	Exeter	Exeter NH, Holland Way matches
NH	Infinity Gracie Brazilian Jiu Jitsu	Lebanon	45 Hanover St Lebanon NH confirmed
NH	Leverage BJJ NH	Concord	BJJ academy, South Main St Concord NH
NH	Limitless Pride Martial Arts and Fitness Center	East Hampstead	BJJ MMA offered, Sandown Rd East Hampstead
NJ	AMA Fight Club	Cedar Knolls	Names Cedar Knolls NJ, BJJ offered
NJ	Advanced Martial Arts	North Brunswick Township	North Brunswick BJJ; site shows 1846 US-1
NJ	Anaconda Brazilian Jiu Jitsu & MMA Academy	Lyndhurst	site lists North Bergen only, not Lyndhurst
NJ	Anaconda Brazilian Jiu-Jitsu North Bergen	North Bergen	BJJ, 6529 Kennedy Blvd North Bergen
NJ	Art of Movement: MMA, BJJ & Fitness	Medford	BJJ, 682 Stokes Rd Medford matches
NJ	B Team Jiu Jitsu	Edison	Redirects to Craig Jones B-Team, Austin Texas
NJ	Bataille Jiu Jitsu Academy	Kinnelon	Bloomingdale NJ, 47 Main St
NJ	Bayshore BJJ	Middletown	Hazlet NJ, 1444 Route 36
NJ	Dante Rivera Brazilian Jiu-Jitsu Academy	Freehold Township	Freehold/Howell Township NJ, US-9 address
NJ	David Branch Jiu Jitsu	Hoboken	720 Monroe Street Hoboken NJ
NJ	Gael Force Jiu Jitsu	Roxbury Township	3 Goldmine Road, Roxbury Township listed
NJ	Garden State Brazilian Jiu-Jitsu Academy	Red Bank	336 State Hwy 35, Red Bank
NJ	Garry Tonon Jiu Jitsu	North Brunswick Township	Now 11 Harts Lane, East Brunswick
NJ	Gorilla Martial Arts	Mahwah	BJJ, 31 Industrial Ave Mahwah NJ
NJ	Gracie Barra Princeton	Lawrenceville	Princeton school at Lawrenceville address
NJ	Gracie Jiu-Jitsu Galloway	Galloway	Tap House rebrand, Galloway address confirmed
NJ	Gracie New Jersey Academy	Lawrenceville	Lebanon / Clinton Township NJ
NJ	Harbor Jiu-Jitsu	Egg Harbor Township	Egg Harbor Township NJ named throughout
NJ	Kombat Brazilian Jiu-Jitsu	Clark	BJJ school, Central Avenue Clark NJ
NJ	Kurt Pellegrino MMA	Wall Township	Manasquan NJ address, four miles from Wall
NL	Evolution Martial Arts NL	St. John's	210 Kenmount Rd St. John's, BJJ
NL	Jason Foley Martial Arts	Conception Bay South	16 Hops St, Conception Bay South
NM	10th Planet Jiu Jitsu Albuquerque	Albuquerque	237 Eubank Blvd NE Albuquerque matches
NM	Academy Jiu Jitsu	Roswell	4501 N Main St, Roswell NM
NM	Apex Grappling Academy	Deming	Jiu-jitsu, 700 E Florida St Deming
NM	Coyote Brazilian Jiu Jitsu Academy	Albuquerque	8430 Washington Pl NE Albuquerque NM
NM	Desert Dynasty MMA	Alamogordo	700 E 1st Street Alamogordo NM
NM	Farmington Jiu Jitsu Academy	Farmington	2501 E 20th St Farmington, matches address
NM	Gracie Barra Albuquerque	Albuquerque	12251 Academy Rd NE #103 Albuquerque
NM	Impact Jiu Jitsu Albuquerque	Albuquerque	6509 Lomas Blvd NE, Albuquerque
NM	Invictus Brazilian Jiu Jitsu and Muay Thai Academy	Albuquerque	1453 Wyoming Blvd Albuquerque confirmed
NM	Jesse Jacquez Brazilian Jiu-Jitsu Santa Fe	Santa Fe	Santa Fe page, 2235 Henry Lynch Rd
NM	Jesse Jacquez Brazilian Jiu-Jitsu Taos	Taos	Taos page, 216 Paseo Del Canon
NM	Kings Jiu Jitsu	Las Cruces	BJJ school, W Picacho Ave Las Cruces NM
NS	374 MMA	Halifax	277 Lacewood Dr Halifax; SEO title says Windsor
NS	Abhaya Martial Arts Academy	Windsor	62 Fort Edward St, Windsor NS
NS	Abhaya Mixed Martial Arts	Greenwich	Brand root; Greenwich location page confirmed
NS	Breakthrough BJJ	Amherst	BJJ gym, 33 Prince Arthur St Amherst
NS	Fit Plus MMA	Dartmouth	135 Main Street Dartmouth, BJJ classes
NS	Grant's Martial Arts	Dartmouth	BJJ Muay Thai, 900 Windmill Road Dartmouth
NS	Integrity Martial Arts	Sydney	80 Hankard St Sydney, BJJ judo
NS	Jake MacKenzie School of Jiu Jitsu	Halifax	6430 Lady Hammond Rd, Halifax
NS	Manimal Athletics Training Center	Lucasville	Facebook renders, BJJ, Lucasville Road Lucasville NS
NS	Maritime Jiu-Jitsu	Halifax	BJJ academy, Hood St Halifax NS
NV	10th Planet Jiu Jitsu Las Vegas	Henderson	Henderson 1225 W Warm Springs matches
NV	AE Brazilian Jiu Jitsu	Las Vegas	Site address 115 S Water, Henderson
NV	Alexandre Garcia Brazilian Jiu-Jitsu	Reno	Gracie Humaita Reno NV, address matches
NV	Freestyle MMA & Jiu Jitsu	Las Vegas	5230 S Valley View Blvd, matches address
NV	Gary Grate Brazilian Jiu-Jitsu Academy of Reno NV	Reno	1335 Airmotive Way Reno matches exactly
NV	Gracie Barra Henderson	Henderson	Own site, 55 S Gibson Rd
NV	Gracie Jiu - Jitsu Summerlin	Las Vegas	address matches, Summerlin Las Vegas
NV	Gracie Las Vegas	Las Vegas	W Charleston Blvd, Las Vegas confirmed
NV	Hard Knocks Muay Thai & Judo	Las Vegas	Judo grappling, Las Vegas address matches
NV	Hybrid Jiujitsu	Las Vegas	7925 W Sahara Ave, Las Vegas
NV	Jiu-Jitsu Methods	Las Vegas	8645 S Rainbow Blvd, Las Vegas
NY	10th Planet Jiu Jitsu NYC	New York	35 W 43rd St New York
NY	Anderson's Martial Arts Academy	New York	BJJ program, 12 East 14th St
NY	Atlas Jiu Jitsu Glens Falls	South Glens Falls	BJJ page, South Glens Falls address
NY	Binghamton Brazilian Jiu Jitsu	Binghamton	BJJ gym, 589 Conklin Rd Binghamton
NY	Brian Beury Jiu Jitsu	Albany	Watervliet NY, 1623 2nd Ave
NY	Bronx Martial Arts Academy	Bronx	BJJ and grappling, 1051 Allerton Ave
NY	Brooklyn Mixed Martial Arts & Fitness	Brooklyn	BJJ and MMA, 2418 Ralph Ave Brooklyn
NY	Buffalo Brazilian Jiu Jitsu Academy	Buffalo	BJJ academy, 22 French Lea Rd Buffalo
NY	Buffalo United Martial Arts	Buffalo	BJJ, judo, sambo, 359 Ganson St
NY	Clockwork Brazilian Jiu-Jitsu	New York	650 Broadway New York NY, BJJ academy
NY	Gentle Art Studio Lotus Club	Astoria	28-02 Astoria Blvd, Astoria NY
NY	Gregor Gracie Academy Brooklyn	Brooklyn	Brooklyn academy, 153 Bridge Park Dr
NY	Haven Jiu Jitsu	Syracuse	Baldwinsville plus Haven on the Hill Syracuse
NY	Hidden Fist Mixed Martial Arts Academy	Queens	Bayside Queens, now 42nd Ave
NY	IJC Martial Arts	Queens	College Point, Flushing, Queens NY
NY	Igor Gracie Jiu Jitsu Academy	New Rochelle	175 E Main St, New Rochelle
NY	International Training Center of New York	Long Island City	Astoria Queens judo, adjacent to LIC
NY	Ithaca BJJ	Ithaca	40 Catherwood Road, Ithaca NY listed
NY	Jiu Livre NYC	New York	383 5th Ave, Manhattan NY
NY	Jon Calestine BJJ	New York	315 Meserole St, Brooklyn NY
NY	Jungle Gym Martial Arts	New Rochelle	714 North Ave, New Rochelle
NY	Kioto Brazilian Jiu Jitsu	New York	Oakdale, Long Island NY
NY	Krystek School of Judo, BJJ, Self Defense and Fitness	Queens	Judo BJJ dojo, Ozone Park Queens NY
NY	Lake Effect Martial Arts	Depew	BJJ grappling school, George Urban Blvd Depew
NY	LockDown BJJ	Lake Ronkonkoma	BJJ gym, Hawkins Ave Lake Ronkonkoma NY
NY	Long Beach Jiu Jitsu	Long Beach	Long Beach New York BJJ academy site
NY	Long Island MMA	Lake Grove	West Babylon and Long Island City NY
OH	10th Planet Jiu Jitsu Newark (Heath OH)	Heath	409 S 22nd St Heath matches
OH	Adamas Brazilian Jiu Jitsu Academy	Toledo	5201 Monroe St Toledo matches
OH	Adventure BJJ & Sambo	Parma	5785 Ridge Rd Parma; BJJ grappling
OH	Ares Combat Training Center	Macedonia	Jiu-jitsu/no-gi, 420 Highland Rd Macedonia OH
OH	GB Cincinnati	West Chester	4845 Premier Way West Chester matches
OH	GT Brazilian Jiu-Jitsu	Akron	Now 51 Southeast Ave, Tallmadge; adjacent
OH	Gladiator Training Center	Xenia	59 E 2nd St Xenia, wrestling
OH	Grove City Brazilian Jiu-Jitsu Academy	Grove City	Grove City OH, Hoover Rd
OH	Hillcrest Academy of Goshin	Cleveland	4431 Mayfield Rd, Cleveland OH
OH	Jorge Gurgel Martial Arts Center West Chester	West Chester	6875 Fountains Blvd, West Chester
OH	Limitless BJJ Cincinnati	Cincinnati	BJJ MMA academy, E McMillan St Cincinnati
OK	Brothers Jiu Jitsu	Broken Arrow	No-gi BJJ academy in Broken Arrow Oklahoma
OK	Cohesion Brazilian Jiu-Jitsu & Judo Academy	Broken Arrow	Tulsa address on E Admiral, adjacent Broken Arrow
OK	Combat Syndicate	Ponca City	305 S Pine St Ponca City
OK	Integrity Martial Arts Moore	Moore	Site lists 101 N Eastern, Moore
OK	Jackson Academy Martial Art Fitness	Stillwater	1401 S Western Rd Stillwater, jiu jitsu
OK	Kudos	Edmond	Facebook renders, W Danforth Rd Edmond OK
OK	Lovato’s School Of Brazilian Jiu-Jitsu and MMA	Oklahoma City	BJJ MMA school, N May Ave Oklahoma City
OK	Lucas Martial Arts	Duncan	Facebook renders, BJJ gym W Main Duncan
ON	88 BJJ	Markham	50 Anderson Ave, Markham ON
ON	905 Brazilian Jiujitsu	Aurora	10 Furbacher Ln, Aurora ON
ON	AACE Martial Arts Academy	Pickering	633 Kingston Road, Pickering ON
ON	AMA Dojo	Mississauga	Unit 8 6790 Kitimat, Mississauga
ON	APEX MMA	Windsor	HQ 1529 Highland Ave Windsor matches
ON	Action & Reaction MMA Pickering	Pickering	Site lists 821 Brock Rd Pickering
ON	Alcateia Brazilian Jiu Jitsu	Belleville	40 Hanna Court Belleville matches
ON	BJJ Battalion	Etobicoke	BJJ academy, 12 Drummond St Etobicoke
ON	Barrie BJJ	Barrie	BJJ academy, 571 Bayfield St Barrie
ON	Big Country - Orillia	Orillia	BJJ and judo, 27 West St Orillia
ON	Bindner Academy	London	BJJ academy, 19-1615 North Routledge London
ON	Bora Jiu-Jitsu	Hamilton	BJJ academy, 625 Greenhill Ave Hamilton
ON	Brampton Brazilian Jiu Jitsu Academy	Brampton	BJJ academy, 1295 Williams Pkwy Brampton
ON	Brave Martial Arts Institute	Ottawa	BJJ and MMA, 2161 Thurston Dr Ottawa
ON	Burlington BJJ	Burlington	BJJ academy, 1167 Pettit Rd Burlington
ON	Core Jiu-Jitsu	Mississauga	966 Dundas St E Mississauga Ontario
ON	Current Jiu Jitsu	Mississauga	6810 Kitimat Rd Mississauga Ontario
ON	DNA Brazilian Jiu Jitsu	Whitby	2001 Thickson Rd S Whitby ON
ON	Elemental Jiu Jitsu	Ajax	Ajax Westney Road address matches exactly
ON	Eris Martial Arts Academy	Peterborough	306 George St N Peterborough, BJJ
ON	Etobicoke BJJ	Etobicoke	2918 Lake Shore Blvd W, matches
ON	Evolve MMA & Fitness	St. Catharines	325 Welland Ave St Catharines, BJJ
ON	Forge Training Centre	Sarnia	1880 London Line Sarnia, BJJ black belt
ON	Four-Eleven Brazilian Jiu Jitsu	Whitby	277 Michael Blvd Whitby, BJJ academy
ON	Grand River BJJ	Cambridge	Downtown Cambridge ON, moved to Dickson Street
ON	Greenwood Jiu-Jitsu	Toronto	Greenwood BJJ, Leaside Toronto
ON	Ground X Jiu Jitsu Ottawa	Ottawa	Barrhaven, Ottawa ON
ON	Guardhouse BJJ	Kitchener	Kitchener Ardelt Place address matches
ON	Hamilton BJJ	Stoney Creek	Green Mountain Rd, Stoney Creek Hamilton
ON	Hamilton School of Martial Arts	Hamilton	Hamilton Ontario, jiu-jitsu judo grappling
ON	JT6 Academy	Toronto	28 Industrial Street Unit 218 Toronto
ON	Jiujitsu Culture	Ottawa	Ottawa BJJ academy, Westboro neighbourhood
ON	Joslin's MMA	Hamilton	436 Concession St, Hamilton
ON	Junction Academy	Toronto	417 Keele St, Toronto Junction
ON	Karma Jiu Jitsu	Ajax	Ajax Westney Rd address matches
ON	Kawartha Combat	Peterborough	Peterborough 910 High St matches
ON	Kombat Arts Training Academy	Mississauga	BJJ wrestling MMA training, Mississauga Ontario stated
ON	Leading Edge MMA	Thunder Bay	BJJ MMA gym, Waterloo St Thunder Bay
ON	Legacy Fight Club	Barrie	BJJ wrestling MMA gym in Barrie Ontario
ON	MAS Academy of Martial Arts	Cambridge	BJJ listed, Bishop Street North Cambridge ON
ON	META BJJ Windsor	Windsor	BJJ school identified as Windsor Ontario
ON	MN Brazilian Jiu Jitsu Academy	Burlington	Burlington Ontario BJJ school, own site
OR	Ashland BJJ	Ashland	BJJ academy, 1287 Oak St Ashland
OR	Ashland Mixed Martial Art	Ashland	Jiu jitsu classes, Ashland Oregon named
OR	Connection Rio Jiu-Jitsu Academy	College Place	170 SW Scalehouse Loop Bend Oregon
OR	Copperhead Jiu Jitsu	Pendleton	Pendleton OR and La Grande locations
OR	Gracie Jiu-Jitsu Portland	Portland	Portland confirmed, moved to SE Madison
OR	Grey Wolf Brazilian Jiu-Jitsu - Martial Arts	Eugene	1199 Fairfield Ave Eugene
OR	Impact Jiu Jitsu Clackamas	Clackamas	Homepage lists Clackamas 16116 SE 82nd
OR	Impact Jiu Jitsu Hood River	Hood River	1531 Osprey Dr, Hood River
OR	Impact Jiu Jitsu Salem (Lancaster)	Salem	Courthouse Club page, Salem Keizer locations
PA	10th Planet BJJ Bloomsburg at Mid World Martial Arts	Bloomsburg	10th Planet jiu jitsu, 32 E Ridge
PA	10th Planet Jiu Jitsu Allentown	Allentown	349 S Cedar Crest Blvd Allentown matches
PA	Dragon Gym Malvern	Malvern	235 Lancaster Ave Malvern PA, BJJ
PA	East York Brazilian Jiu Jitsu	York	241 Pauline Drive York PA
PA	Good Vibes Brazilian Jiu Jitsu	Morrisville	375 W Trenton Ave Morrisville PA
PA	Inverted Gear Academy	Bethlehem	Site says Allentown, about five miles
QC	AM3R - Arts Martiaux Trois-Rivières	Trois-Rivières	BJJ and wrestling, Trois-Rivieres named
QC	Académie Athéna	Sherbrooke	1381 Rue King E, Sherbrooke QC
QC	Académie Connexion	Saint-Amable	510 rue Charbonneau Saint-Amable, BJJ listed
QC	Académie JiuManji	Nicolet	2041 Bd Louis Fréchette Nicolet matches
QC	Académie SGS	Sherbrooke	297 Rue King O Sherbrooke matches
QC	Alliance Jiu Jitsu Montreal	Montreal	Alliance BJJ Montreal, schedule listed
QC	Alliance Jiu Jitsu Montréal - Rosemère	Rosemère	Site headlines Montreal-Rosemere, both locations covered
QC	Arts Martiaux DeRocque BJJ	Gatineau	JS site; metadata names BJJ Aylmer Gatineau
QC	Arts Martiaux K2V	Shefford	BJJ offered, 104 rue Clermont Shefford
QC	Arts Martiaux KJS	Saint-Constant	BJJ offered, Saint-Constant address matches
QC	Aylmer Jiu-Jitsu and Muay-Thai	Gatineau	BJJ and Muay Thai, Gatineau address matches
QC	Bjj Québec	Quebec City	BJJ club, 2376 Rue Galvani Québec
QC	Bravado BJJ Rive-Sud	Longueuil	BJJ gym, 4180 Chemin de Chambly Longueuil
QC	Dojo Fusion	Terrebonne	1977 Chemin Gascon Terrebonne QC
