# NY MatMade candidates — 186 records, crawled 5 Aug 2026 (re-crawl of this run)
# buildId Rd7MR1U4ddxhWYs6pVmUV, RE-DERIVED from __NEXT_DATA__ this run, not assumed.
# Sitemap /sitemap/gym-sitemap.xml via /sitemap.xml: 7,311 URLs. Crawled 7,310 at
# concurrency 12, 0 errors (skipped triton-fight-center, known permanent 404).
# MEASURED: 186 records with state.title === "New York". city taken through rel().
# websiteURL_raw is the RAW stored string per METHOD CORRECTION 3 — NOT URL.hostname,
# NOT normalised, scheme preserved or absent as stored. Query strings intact.
# Tab-separated. Two names legitimately contain "|" (a field separator per RULES §5)
# and MUST be renamed before they can be written to a snippet at all.
name	slug	city	postalCode	address1	address2	websiteURL_raw	phone	googleRating	googleReviewCount	affiliation
Tiger Schulmann's Martial Arts Greenpoint (Brooklyn) NY	tiger-schulmanns-martial-arts-greenpoint-brooklyn-ny	Brooklyn	11222	211 McGuinness Blvd		https://tsk.com/locations/ny/brooklyn-greenpoint/	+1 917-580-7834	4.5	90	
Ultimate Sambo MMA Academy	ultimate-sambo-mma-academy	Florida	10921	133 North Main Street		http://www.ultimatesambo.com/	n/a	5	41	
Tiger Schulmann's Martial Arts Astoria (Queens) NY	tiger-schulmanns-martial-arts-astoria-queens-ny	Astoria	11103	34 East 23rd Street 2nd and 3rd Floor		https://tsk.com/locations/ny/queens-astoria/	+1 347-201-3995	4.9	168	
Renzo Gracie Jiu-Jitsu Upper West Side	renzo-gracie-jiu-jitsu-upper-west-side	New York	10023	Subcellar 246 Columbus Ave		https://www.renzogracieuws.com/	+1 212-787-3700	4.9	137	
David Kaplan Martial Arts	david-kaplan-martial-arts	New York	10012	79 MacDougal St		https://www.davidkaplanmartialarts.com	+1 212-470-2531	5	2	
Gracie Jiu-Jitsu Point Lookout	gracie-jiu-jitsu-point-lookout	point_lookout	11569	5 lido blvd.			(516) 439-1993	5	24	
Yin Yang Jiu Jitsu	yin-yang-jiu-jitsu	Queens	11355	42-05 Parsons Blvd		https://www.instagram.com/yinyangbjj_?utm_medium=copy_link	+1 929-422-6421	4.9	10	
LifeStyle Brazilian Jiu Jitsu Academy	lifestyle-brazilian-jiu-jitsu-academy	Astoria	11103	30-89 38th St		http://lifestyle-mma.com/	+1 332-249-7747	5	34	
Buffalo Brazilian Jiu-Jitsu Academy	buffalo-brazilian-jiu-jitsu-academy	West Seneca	14224	22 French Lea Drive		http://www.buffalobjj.com/	n/a	4.5	34	
Serra BJJ Academy	serra-bjj-academy	Levittown	11756	2949 Hempstead Turnpike		https://serrabjjacademy.com	+1 516-520-2052	4.6	36	
JG Monster Jiujitsu Fitness	jg-monster-jiujitsu-fitness	Brooklyn	11215	117 14th St Ste B		http://www.jgmonsterjiujitsufitness.com	(929) 498-7321	5	16	
Black Hole Jiu Jitsu	black-hole-jiu-jitsu	Wappingers Falls	12590	1285 US-9			+1 845-849-3670	4.9	116	
Tiger Schulmann's Martial Arts Middle Village (Queens) NY	tiger-schulmanns-martial-arts-middle-village-queens-ny	Queens	11379	61-22 Fresh Pond Rd		https://tsk.com/locations/ny/queens-middle-village/	+1 347-407-8723	4.9	102	
Brooklyn Mixed Martial Arts & Fitness	brooklyn-mixed-martial-arts-fitness	Brooklyn	11234	2418 Ralph Ave		https://www.brooklynmixedmartialarts.com	(718) 677-5979	4.6	111	
East Side Brazilian Jiu Jitsu / ESBJJ / RENZO GRACIE AFFILIATE	east-side-brazilian-jiu-jitsu-esbjj-renzo-gracie-affiliate	New York	10022	139 East 57th Street 5th floor		http://www.facebook.com/eastsidebrazilianjiujitsu	+1 917-674-4377	5	61	
Una Brazilian Jiujitsu	una-brazilian-jiujitsu	Forest Hills	11375	100-33 Metropolitan Ave		https://www.unabjj.com	(718) 268-0044	5	81	
Training Zone NYC - Ozone Park	training-zone-nyc-ozone-park	Queens	11417	94-00 Liberty Ave		https://www.tznyc.com	+1 718-529-6999	4.9	78	
Tiger Schulmann's Martial Arts Manhasset NY	tiger-schulmanns-martial-arts-manhasset-ny	Manhasset	11030	1205 Northern Blvd		https://tsk.com/locations/ny/manhasset/	+1 516-253-6725	4.9	78	
Clockwork Jiu Jitsu	clockwork-jiu-jitsu	New York	10012	650 Broadway 2nd floor		http://clockworkbjj.com	+1 212-675-0300	5	332	
Square Circle New York	square-circle-new-york	New York	10038	139 Fulton St #706		https://squarecirclenewyork.com	+1 212-964-9800	4.9	89	
Tiger Schulmann's Martial Arts Tottenville (Staten Island) NY	tiger-schulmanns-martial-arts-tottenville-staten-island-ny	Staten Island	10309	2955 Veterans Rd W 2nd Floor		https://tsk.com/locations/ny/staten-island-tottenville/	+1 929-273-2194	4.9	147	
Vamos BJJ & MMA	vamos-bjj-mma	Holbrook	11741	4713 VETERANS HIGHWAY		http://www.vamosjiujitsu.com/	n/a	5	64	
The Grappling Club	the-grappling-club	Brooklyn	11211	370 S 4th St			+1 646-238-4666	5	44	
Anderson's Martial Arts Academy	andersons-martial-arts-academy	New York	10003	12 E 14th St		http://andersonsmartialarts.com	(212) 766-6622	4.4	124	
Igor Gracie Academy	igor-gracie-jiu-jitsu-academy	New Rochelle	10801	175 Main St		https://www.safebrowse.io/warn.html?url=http://www.igorgraciejiujitsu.com/&token=ee0d39ae	+1 914-235-2605	5	71	
Renzo Gracie Bay Ridge	renzo-gracie-bay-ridge	Brooklyn	11209	7914 3rd Ave Fl 2		http://renzograciebayridge.com	(718) 812-4745	5	30	
Renzo Gracie Fight Academy	renzo-gracie-fight-academy	Brooklyn	11222	100 Bayard St		https://renzograciebrooklynnyc.com	+1 718-704-0631	4.3	65	
Brooklyn Wing Tsun	brooklyn-wing-tsun	Brooklyn	11215	808 Union St 7th Ave 2nd flr Buzzer 6		http://bkwingtsun.com	(347) 460-5204	4.6	163	
Striking 101 Mixed Martial Arts - Forest Hills	striking-101-mixed-martial-arts-forest-hills	Queens	11375	96-21 69th Ave		https://s101hq.com	+1 718-559-9403	4.9	116	
Crossfit 585 BJJ	crossfit-585-bjj	Rochester	14607	22 Winston Place		http://www.crossfit585bjj.com/home/	n/a	5	168	
Codella Brazilian Jiu Jitsu Academy	codella-brazilian-jiu-jitsu-academy	Staten Island	10314	3755 Victory Blvd		http://codellaacademy.com/	+1 917-202-9671	4.9	131	
Staten Island Brazilian Jiu-Jitsu/MMA	staten-island-brazilian-jiu-jitsumma	Staten Island	10310	1230 Castleton Ave	1230	http://sibjjmma.com/	+1 917-873-3503	5	122	
